文番号,文字数,単語数,平均単語長,感情スコア
442,64,47,1.3617021276595744,0.05018412401225092
443,43,26,1.6538461538461537,0.988972057344128
444,64,45,1.4222222222222223,0.9899829984047155
445,47,32,1.46875,0.5590106285074863
446,24,12,1.9166666666666667,0.7699880363702019
447,45,26,1.7307692307692308,0.9997047225076757
448,12,7,1.5714285714285714,0.65757390997123
449,35,24,1.4583333333333333,0.2939543901314444
450,7,4,1.5,0.5
451,54,35,1.542857142857143,0.7838299837605874
452,104,66,1.5454545454545454,0.3696046300825624
453,73,48,1.4791666666666667,0.14064308617398802
454,75,48,1.5625,0.5942998063262476
455,140,95,1.4736842105263157,0.1499470311567327
456,78,53,1.4339622641509433,0.129411047719188
457,40,26,1.5384615384615385,0.1345792068879299
458,58,40,1.45,0.06353340547778996
459,19,16,1.125,0.05261859655689671
460,36,29,1.1724137931034482,0.017110485054358193
461,136,94,1.446808510638298,0.7726917982122864
462,63,43,1.4186046511627908,0.047296566581757515
463,75,57,1.3157894736842106,0.0008433116998666224
464,76,53,1.3962264150943395,0.4754018550091694
465,24,18,1.3333333333333333,0.6827876972056963
466,31,24,1.25,0.9143162069769291
467,36,24,1.5,0.03938650324305715
468,25,17,1.3529411764705883,0.0784711461112455
469,51,33,1.5454545454545454,0.025709560681348664
470,44,29,1.5172413793103448,0.00859639985719407
471,41,30,1.3666666666666667,0.006073551171356217
472,41,28,1.3928571428571428,0.09346952756024551
473,23,14,1.6428571428571428,0.5485327769927242
474,72,46,1.565217391304348,0.27673002144695735
475,45,34,1.3235294117647058,0.921160497920437
476,94,66,1.393939393939394,0.8296758625178761
477,33,21,1.5714285714285714,0.9623685182039275
478,35,25,1.4,0.10957500221170091
479,32,26,1.1923076923076923,0.39073205844787084
480,43,29,1.4482758620689655,0.9415811894425693
481,15,11,1.1818181818181819,0.39649036561138595
482,35,26,1.3461538461538463,0.07240704994107883
483,27,19,1.4210526315789473,0.7881435008350486
484,31,21,1.4285714285714286,0.010843756301976648
485,17,11,1.4545454545454546,0.19029843438689897
486,25,13,1.8461538461538463,0.43999676109141483
487,27,21,1.2857142857142858,0.28838645188142964
488,62,39,1.5384615384615385,0.7721326555100793
489,40,24,1.6666666666666667,0.12531710861682943
490,27,21,1.1904761904761905,0.9013360171073007
491,68,43,1.5813953488372092,0.9858354328536504
492,61,36,1.6944444444444444,0.9956100303982812
493,30,19,1.5789473684210527,0.933584896457469
494,16,8,2.0,0.15867766898741453
495,29,20,1.35,0.9745250738595197
496,49,32,1.53125,0.21744708782580702
497,36,21,1.7142857142857142,0.11436120580827325
498,42,31,1.3548387096774193,0.008261338603096302
499,24,17,1.411764705882353,0.21213333746352359
500,53,34,1.5294117647058822,0.9951021850475898
501,52,36,1.4444444444444444,0.8485053439099214
502,50,35,1.4285714285714286,0.05000353378837419
503,77,49,1.5714285714285714,0.9908173015653156
504,142,97,1.4639175257731958,0.9999091612566282
505,38,23,1.608695652173913,0.9993344283235271
506,15,10,1.5,0.9835484830471228
507,63,44,1.4318181818181819,0.061881660018116236
508,25,18,1.3888888888888888,0.9578805274317902
509,54,32,1.6875,0.14648686252274712
510,34,26,1.3076923076923077,0.10232091132706755
511,32,22,1.4545454545454546,0.13442803389536595
512,20,13,1.4615384615384615,0.8756950309117677
513,30,21,1.380952380952381,0.9858640151173534
514,45,34,1.2647058823529411,0.002760316462612211
515,30,22,1.3636363636363635,0.5195098681118483
516,57,39,1.4102564102564104,0.9966317516232291
517,107,61,1.7540983606557377,0.9917626210516894
518,88,60,1.4666666666666666,0.9092890886158439
519,22,14,1.4285714285714286,0.019955189109159277
520,27,18,1.5,0.9754425510832101
521,134,91,1.4725274725274726,0.15372290734769434
522,34,25,1.32,0.6108105259350475
523,53,31,1.6774193548387097,0.3353480512488577
524,51,31,1.5806451612903225,0.9854034044840783
525,23,14,1.6428571428571428,0.993419938998379
526,24,16,1.375,0.01654352761687916
527,101,65,1.5538461538461539,0.14639792465571955
528,40,29,1.3793103448275863,0.5092645676859664
529,178,126,1.4126984126984128,1.5521761653758404e-10
530,73,47,1.5106382978723405,0.9867390975980305
531,196,126,1.5555555555555556,0.9998225058959812
532,63,42,1.4523809523809523,0.17390223171635755
533,75,53,1.4150943396226414,0.9767311262850978
534,73,43,1.6744186046511629,0.9966114291532954
535,163,114,1.4298245614035088,0.9995352557500987
536,45,31,1.4516129032258065,0.1873833709186009
537,93,59,1.5423728813559323,0.9056521932790274
538,43,28,1.5,0.025860660362816423
539,38,24,1.5833333333333333,0.9879408517636548
540,96,64,1.5,0.5463528705711059
541,57,42,1.3095238095238095,0.015574444443865354
542,118,76,1.5526315789473684,0.9391955344032473
543,124,88,1.3863636363636365,0.6998945981903413
544,78,60,1.2666666666666666,0.04400287256325053
545,45,29,1.5172413793103448,0.7628594482646891
546,88,56,1.5535714285714286,0.1543529935579092
547,48,39,1.2307692307692308,0.015012456964133114
548,50,34,1.4705882352941178,0.573127728475404
549,60,40,1.475,0.1796623614453159
550,40,29,1.3103448275862069,0.0456841585532225
551,46,33,1.393939393939394,0.4004031115608726
552,56,39,1.435897435897436,0.9595082280759196
553,44,32,1.375,0.9283968340334838
554,30,19,1.5789473684210527,0.9976661397417338
555,113,82,1.353658536585366,0.9986978764104657
556,79,53,1.490566037735849,0.3358919761464292
557,61,43,1.4186046511627908,0.2814719696718001
558,52,35,1.4857142857142858,0.5829481048827112
559,16,10,1.5,0.5129056356785926
560,28,18,1.5555555555555556,0.9992492428957044
561,15,12,1.25,0.37165162461671686
562,56,39,1.3846153846153846,0.8242144444087943
563,29,17,1.7058823529411764,0.20559925566149118
564,38,25,1.52,0.0157237583711044
565,53,30,1.7333333333333334,0.1481860108887464
566,18,14,1.2857142857142858,0.3939543272660184
567,32,18,1.7777777777777777,0.985894598635445
568,20,13,1.5384615384615385,0.17894270644220212
569,128,81,1.5802469135802468,0.998809154251631
570,18,12,1.5,0.7473068715252317
571,33,21,1.4761904761904763,0.9991397011054122
572,111,75,1.48,0.9998309505670188
573,251,174,1.4425287356321839,0.9778523844302206
574,18,13,1.3846153846153846,0.9956966420370835
575,64,44,1.4318181818181819,0.6296712133747528
576,56,37,1.5135135135135136,0.0023581998571071683
577,66,45,1.4666666666666666,0.0025702103685147915
578,29,19,1.5263157894736843,0.9891091809259753
579,39,25,1.48,0.8272345074697903
580,66,46,1.434782608695652,0.7213801176292953
581,54,35,1.542857142857143,0.8977374097940035
582,13,10,1.3,0.703556134754927
583,51,31,1.6451612903225807,0.008978751141024088
584,29,16,1.75,0.32819149374872203
585,76,50,1.52,0.9819438880204224
586,102,65,1.5384615384615385,0.9965939940723773
587,100,71,1.408450704225352,0.6902307414021611
588,48,31,1.5483870967741935,0.029571101194454052
589,59,37,1.5405405405405406,0.9008996577754358
590,79,60,1.3166666666666667,0.8383694930775807
591,65,40,1.625,0.8594057582923821
592,55,34,1.5588235294117647,0.6571918344101368
593,150,97,1.5463917525773196,0.9887972124057794
594,92,57,1.6140350877192982,0.011861512950534392
595,27,17,1.5294117647058822,0.20321715080241132
596,114,74,1.5405405405405406,0.9897234110428836
597,93,61,1.5245901639344261,0.9847673493427472
598,56,35,1.6,0.9953621883236015
599,59,43,1.372093023255814,0.06786871682602236
600,57,38,1.4473684210526316,0.05178478487134197
601,114,87,1.3103448275862069,0.0061943422801888914
602,146,104,1.4038461538461537,0.45002162703440507
603,90,61,1.4426229508196722,0.7893378687124937
604,46,32,1.4375,0.04482882245863651
605,57,44,1.2954545454545454,0.047643725874062626
606,18,16,1.125,0.7152866738298639
607,130,97,1.3402061855670102,0.0012838803116378417
608,77,49,1.530612244897959,0.99648355368001
