文番号,文字数,単語数,平均単語長,主成分1,主成分2
286,46,33,1.393939393939394,0.057730544963050606,-0.7785016233701355
287,65,28,2.3214285714285716,-0.3791564465218407,4.570173483713201
288,38,27,1.4074074074074074,-0.26387355673040896,-0.7385307963037144
289,52,37,1.4054054054054057,0.27008292455290633,-0.6862322370273558
290,31,14,2.2142857142857144,-1.3133963092606247,3.82125142678065
291,22,14,1.5714285714285714,-1.030216565207856,0.12211687310546747
292,46,28,1.6428571428571428,-0.25393208124152417,0.6337284780070127
293,63,44,1.431818181818182,0.6464204148848286,-0.48686100882391353
294,55,37,1.4864864864864864,0.2684617054950462,-0.2134317516390673
295,85,52,1.6346153846153846,1.1286848638507596,0.7577066339539332
296,69,44,1.568181818181818,0.6611456819826524,0.3114989582925787
297,126,78,1.6153846153846154,2.6108413520748894,0.8290335369366376
298,39,27,1.4444444444444444,-0.271385559462182,-0.5238000863502654
299,14,7,2.0,-1.6685847709068653,2.529539043880879
300,69,44,1.568181818181818,0.6611456819826524,0.3114989582925787
301,76,49,1.5510204081632653,0.9393790411386505,0.2454152606713444
302,57,36,1.5833333333333333,0.2099171674877085,0.34431595291476896
303,106,67,1.582089552238806,1.9641103782525613,0.55351076066577
304,12,8,1.5,-1.3292591887291394,-0.3291414877103294
305,45,29,1.5517241379310345,-0.1810841158676962,0.11193930383394526
306,37,25,1.48,-0.38803477910555606,-0.3309391676599187
307,42,28,1.5,-0.22756905697198396,-0.19499678635218393
308,113,66,1.7121212121212122,1.9738683824727714,1.317393943341985
309,61,37,1.648648648648649,0.26521926737932516,0.7321692191375161
310,55,37,1.4864864864864864,0.2684617054950462,-0.2134317516390673
311,57,36,1.5833333333333333,0.2099171674877085,0.34431595291476896
312,19,13,1.4615384615384617,-1.0361910893301127,-0.5167922979071653
313,24,16,1.375,-0.801525326241604,-0.9889013272820109
314,30,23,1.3043478260869563,-0.44900025940735483,-1.3602513524509254
315,42,32,1.3125,0.013658260829899037,-1.258380516880435
316,44,33,1.3333333333333333,0.06337458438919115,-1.1310964875744154
317,99,73,1.356164383561644,2.1594393587243514,-0.7492408873006612
318,109,68,1.5735294117647058,2.0525810572960523,0.5163838711833751
319,76,55,1.3818181818181818,1.2231829477163079,-0.7101653973222688
320,13,7,1.5714285714285714,-1.388383755516221,0.08018775028698417
321,15,12,1.25,-0.9896542544216406,-1.7391910329823146
322,21,17,1.2352941176470589,-0.7314139820202064,-1.7946078767837568
323,12,8,1.5,-1.3292591887291394,-0.3291414877103294
324,26,14,1.8571428571428572,-1.1560742292313086,1.766176674738882
325,19,12,1.5833333333333333,-1.1486767983630641,0.17664694774250414
326,39,25,1.56,-0.407185969625561,0.13234353675613322
